rew_mean_NSN,retstd_NSN,eplen,ups,advstd_NSN,vpredstd_NSN,eprew_recent,retstd_IDN,advstd_IDN,loss,retmean_IDN,n_updates,rew_mean_IDN,vfn_loss,vpredstd_IDN,retmean_NSN,vpredmean_IDN,idn_pg_loss,epcount,best_ext_ret,tcount,ext_reward,eprew,vpredmean_NSN,total_secs,tps,metric,ext_reward_std,advmean_NSN,advmean_IDN
0.001953125,0.12391108,5.2615384615384615,7.512311847601034,0.13009563,0.03987204,0.0,7.7305226,7.7461214,-0.014088980853557587,-16.861938,1,-2.645375,175.03377914428708,0.09011284,-0.18240245,0.1816409,-0.014088980853557587,65.0,0.0,342.0,0.001953125,0.0,-0.21697095,0.13311481475830078,3846.3036659717295,2.64537513256073,0.04415099322795868,0.034568507,-17.04358
0.005859375,0.18750356,6.61,20.774885706785277,0.19078906,0.037610143,0.017543859649122806,7.7922626,7.7856336,-0.01409378026922544,-16.965229,2,-2.6679182,176.37418111165368,0.097433485,-0.14995441,0.14042512,-0.01409378026922544,122.0,1.0,748.0,0.005859375,0.01,-0.2157589,0.18124985694885254,10636.741481874062,2.667918066183726,0.07632196694612503,0.06580449,-17.105656
0.00390625,0.109627694,7.47,20.461217241984897,0.113336146,0.03155812,0.029411764705882353,7.589836,7.5830936,-0.013986135910575593,-16.632223,3,-2.6133022,168.7225481669108,0.095604025,-0.1874887,0.11449051,-0.013986135910575593,190.0,1.0,1246.0,0.00390625,0.02,-0.21225667,0.23012280464172363,10476.143227896267,2.6133020520210266,0.06237781047821045,0.024767974,-16.746716
0.00390625,0.16323963,6.87,20.538064155987875,0.16582687,0.030175634,0.027777777777777776,7.6131573,7.6010394,-0.013957776129245768,-16.652328,4,-2.6013088,168.59328333536783,0.10267095,-0.16186766,0.08016203,-0.013957776129245768,262.0,1.0,1725.0,0.00390625,0.02,-0.21053433,0.27881288528442383,10515.488847865792,2.6013089617093406,0.06237781047821045,0.048666652,-16.732494
0.00390625,0.163959,7.09,19.802761043228646,0.165549,0.03205142,0.028169014084507043,7.6076107,7.6115065,-0.013996766259272896,-16.769978,5,-2.607026,169.66653188069662,0.11810392,-0.16241565,0.023606848,-0.013996766259272896,333.0,1.0,2225.0,0.00390625,0.04,-0.20938843,0.32931089401245117,10139.013654133067,2.607026199499766,0.06237781047821045,0.046972778,-16.793583
0.01171875,0.24546854,7.4,20.030870329334455,0.24764605,0.030002858,0.07692307692307693,7.561589,7.555796,-0.014464372613777709,-16.598618,6,-2.5828874,165.92697016398114,0.12653814,-0.10688866,-0.0046487194,-0.014464372613777709,411.0,1.0,2805.0,0.01171875,0.08,-0.20244108,0.37923383712768555,10255.805608619241,2.582887291908264,0.10761701315641402,0.09555243,-16.59397
0.00390625,0.16202947,6.54,20.185691047520045,0.16226204,0.024794616,0.05194805194805195,7.4909782,7.495968,-0.014120126763979595,-16.369274,7,-2.5494733,161.04913457234704,0.12959097,-0.14540876,-0.042989112,-0.014120126763979595,488.0,1.0,3298.0,0.00390625,0.06,-0.19376749,0.4287738800048828,10335.073816330263,2.5494734048843384,0.06237781047821045,0.048358724,-16.326284
0.001953125,0.121090874,6.98,20.241216894448304,0.12165708,0.024198955,0.01282051282051282,7.416543,7.407082,-0.013926848148306211,-16.289564,8,-2.523676,158.26225662231442,0.14909212,-0.15228042,-0.09216393,-0.013926848148306211,566.0,1.0,3846.0,0.001953125,0.03,-0.18645707,0.4781780242919922,10363.503049957531,2.5236759781837463,0.04415099322795868,0.03417662,-16.1974
0.001953125,0.11124367,6.44,20.167056130936928,0.1114979,0.022577925,0.01282051282051282,7.3878627,7.3686323,-0.014004623517394073,-16.090195,9,-2.4983463,153.93798319498697,0.1504764,-0.1506568,-0.14303012,-0.014004623517394073,644.0,1.0,4327.0,0.001953125,0.02,-0.17805284,0.527763843536377,10325.532739039707,2.498346269130707,0.04415099322795868,0.027396023,-15.947164
0.0,0.01636431,6.62,19.89424654935256,0.025738327,0.01990844,0.0,7.1475444,7.1499085,-0.01416418802303573,-16.005236,10,-2.4527361,150.45054117838544,0.1677896,-0.1624898,-0.17737275,-0.01416418802303573,716.0,1.0,4819.0,0.0,0.01,-0.17404209,0.5780296325683594,10185.85423326851,2.452736059824626,0.0,0.011552293,-15.827861
