advmean_IDN,ups,best_ext_ret,eplen,tps,retmean_IDN,eprew,vfn_loss,retmean_NSN,n_updates,rew_mean_NSN,tcount,epcount,loss,vpredstd_IDN,retstd_NSN,ext_reward_std,eprew_recent,vpredmean_NSN,rew_mean_IDN,advmean_NSN,metric,advstd_NSN,vpredmean_IDN,idn_pg_loss,vpredstd_NSN,total_secs,advstd_IDN,ext_reward,retstd_IDN
-18.622559,14.222704491661636,0.0,5.274193548387097,7282.024699730758,-18.38242,0.0,209.15382766723633,-0.123773634,1,0.0,327.0,62.0,2.2128204504648847,0.06344873,0.024783634,0.0,0.0,-0.13084131,-2.9031813,0.007067692,2.903181274731954,0.044403885,0.24014065,5.141521493593816e-06,0.037956867,0.07031011581420898,8.482938,0.0,8.484586
-18.5124,18.427995870038004,1.0,7.29,9435.133885459458,-18.300362,0.02,206.59874852498373,-0.09526114,2,0.00390625,808.0,123.0,2.1938673754533133,0.06358659,0.14743643,0.06237781047821045,0.03278688524590164,-0.12342924,-2.8807878,0.028168103,2.880787710348766,0.1515748,0.2120372,0.00010907153288523385,0.03671033,0.12457537651062012,8.421573,0.00390625,8.41909
-18.40839,18.818580318645378,1.0,7.79,9635.113123146433,-18.221554,0.03,204.42880249023438,-0.102276415,3,0.001953125,1322.0,186.0,2.2045778234799704,0.06801266,0.10373655,0.04415099322795868,0.015873015873015872,-0.11438817,-2.8657353,0.0121117495,2.8657353321711225,0.110398084,0.18683565,3.278876344362902e-05,0.03629503,0.17771434783935547,8.39359,0.001953125,8.393234
-18.348186,18.59704880817253,1.0,7.55,9521.688989784336,-18.187374,0.02,202.2696698506673,-0.07437934,4,0.00390625,1841.0,255.0,2.202743291854859,0.070681304,0.13804054,0.06237781047821045,0.028985507246376812,-0.109158486,-2.8481925,0.034779143,2.848192532857259,0.14183187,0.1608116,-0.0001372216890255612,0.03361755,0.23148632049560547,8.26749,0.00390625,8.274995
-18.203098,18.786802712556774,1.0,7.18,9618.842988829068,-18.075626,0.04,199.445192972819,-0.06337286,5,0.005859375,2334.0,324.0,2.189568559328715,0.07561918,0.15649396,0.07632196694612503,0.057971014492753624,-0.098169684,-2.8262558,0.034796815,2.826255818208059,0.16091225,0.12746832,-0.0002131182700395582,0.036732547,0.2847151756286621,8.247834,0.005859375,8.251584
-18.140987,19.19168329154236,1.0,7.01,9826.141845269689,-18.044554,0.02,197.96876144409183,-0.06700437,6,0.001953125,2790.0,388.0,2.212601701418559,0.07957125,0.06740292,0.04415099322795868,0.015625,-0.08083689,-2.8216107,0.013832522,2.821610689163208,0.080194496,0.09643419,-8.245681722958886e-05,0.038670067,0.3368210792541504,8.208298,0.001953125,8.210317
-17.997585,18.961677041939613,1.0,7.84,9708.378645473082,-17.931923,0.01,194.93272399902344,-0.049275182,7,0.001953125,3348.0,454.0,2.2061980565388994,0.08728328,0.096257195,0.04415099322795868,0.015151515151515152,-0.071447276,-2.8008833,0.022172093,2.80088339249293,0.10446516,0.06566265,2.8003007173538316e-05,0.04004094,0.3895590305328369,8.155945,0.001953125,8.155003
-17.836033,19.327342936400417,1.0,7.95,9895.599583437013,-17.80777,0.01,191.4571596781413,-0.032427534,8,0.001953125,3856.0,517.0,2.2013483742872872,0.09209027,0.12014002,0.04415099322795868,0.015873015873015872,-0.061302602,-2.7789197,0.02887507,2.778919617335002,0.12696435,0.028259803,-0.0002299882471561434,0.04051548,0.4412992000579834,8.088043,0.001953125,8.091972
-17.789661,19.13285284189399,1.0,7.73,9796.020655049722,-17.796207,0.04,190.26738866170248,-0.014902592,9,0.00390625,4324.0,580.0,2.198293685913086,0.101065494,0.14430815,0.06237781047821045,0.047619047619047616,-0.04577092,-2.767855,0.030868327,2.767854968706767,0.1518257,-0.0065473043,2.40902105967211e-06,0.042269345,0.49356532096862793,8.045302,0.00390625,8.045839
-17.543568,19.111755110224095,1.0,8.46,9785.218616434737,-17.589993,0.06,185.38503138224283,0.02131456,10,0.0078125,4921.0,646.0,2.1725318531195326,0.10168585,0.20617773,0.08804240077733995,0.07575757575757576,-0.03648921,-2.732669,0.057803772,2.732669234275818,0.21385291,-0.04642492,0.00010883621871471473,0.04496398,0.545889139175415,7.977948,0.0078125,7.972562
-17.22292,19.62357652827293,1.0,7.9,10047.27118247574,-17.318966,0.02,178.2686882019043,-0.008553177,11,0.0,5368.0,708.0,2.127238025267919,0.11087014,0.028386934,0.0,0.0,-0.013780825,-2.6767864,0.0052276487,2.676786502202352,0.054095246,-0.09604587,-3.385233382383968e-05,0.046661217,0.5968482494354248,7.7889857,0.0,7.797492
-16.94196,18.841997448383676,1.0,7.49,9647.102693572442,-17.091984,0.01,172.82074101765951,0.006157891,12,0.001953125,5866.0,775.0,2.1130861838658648,0.11442475,0.057889827,0.04415099322795868,0.014925373134328358,0.0023427731,-2.6439137,0.0038151178,2.643913706143697,0.07546445,-0.15002379,-6.072409451007843e-05,0.04926163,0.649921178817749,7.7078414,0.001953125,7.7027216
-16.85839,18.872518493187666,1.0,8.41,9662.729468512085,-17.04789,0.01,171.23897806803387,0.0531258,13,0.00390625,6371.0,832.0,2.098491152127584,0.12159538,0.16471939,0.06237781047821045,0.017543859649122806,0.013083223,-2.624907,0.040042575,2.6249070564905805,0.17536508,-0.18949755,-9.056366980075836e-05,0.05403519,0.7029082775115967,7.687402,0.00390625,7.689596
