eplen,rew_mean_NSN,total_secs,advmean_IDN,eprew,eprew_recent,ext_reward_std,retmean_IDN,idn_pg_loss,metric,advmean_NSN,advstd_IDN,tcount,vpredstd_IDN,ups,advstd_NSN,ext_reward,vpredmean_NSN,retstd_NSN,retmean_NSN,tps,vpredstd_NSN,loss,rew_mean_IDN,n_updates,vfn_loss,vpredmean_IDN,retstd_IDN,best_ext_ret,epcount
4.666666666666667,0.0006250001,0.057235002517700195,-18.28877,0.015151515151515152,0.015151515151515152,0.044339776039123535,-18.17213,0.00018727903564770966,2.8385944763819375,0.014390061,8.286835,308.0,0.057349827,17.47182591091431,0.12566482,0.0006250001024454832,-0.06923774,0.12618442,-0.05484768,8945.574866388126,0.028892405,2.1264018515745797,-2.8385944,1,201.42443211873373,0.11664132,8.285528,1.0,66.0
7.48,0.0006640626,0.11184120178222656,-17.952396,0.02,0.015625,0.04433479905128478,-17.856949,0.00016515019039313006,2.793993294239044,0.018667145,8.149149,850.0,0.056146804,18.312939070447747,0.12468941,0.0006640626234002412,-0.07068129,0.121442705,-0.052014146,9376.224804069247,0.02960079,2.096926788489024,-2.7939932,2,194.20419947306317,0.0954493,8.147074,1.0,130.0
7.36,0.0005078125,0.16515302658081055,-17.833805,0.02,0.014084507042253521,0.04435447603464127,-17.758259,0.00010596401989459991,2.7787458300590515,-0.00096635707,8.122948,1381.0,0.04864032,18.75756464495586,0.10574069,0.0005078124813735486,-0.06704475,0.10246827,-0.06801111,9603.8730982174,0.0327951,2.0791216691335044,-2.778746,3,191.86832555135092,0.075545266,8.12514,1.0,201.0
7.66,0.0025976566,0.21872806549072266,-17.858728,0.02,0.03225806451612903,0.06255068629980086,-17.8,0.00010403866569201137,2.771804432074229,0.020672476,8.069155,1870.0,0.050710823,18.665408749054336,0.13649255,0.0025976565666496754,-0.06263009,0.13560386,-0.041957613,9556.68927951582,0.034175705,2.0759145816167193,-2.7718043,4,191.8659299214681,0.0587283,8.070988,1.0,263.0
7.4,0.0026953127,0.272197961807251,-17.72094,0.02,0.015625,0.062538743019104,-17.683264,-2.73243834575022e-05,2.752875884373983,0.02416154,8.003258,2338.0,0.04473152,18.70211219562222,0.13060354,0.002695312723517418,-0.059294257,0.12933797,-0.03513272,9575.481444158577,0.033849105,2.0419338544209795,-2.7528758,5,188.86298878987628,0.03767593,8.000962,1.0,327.0
7.62,0.0045312503,0.32415008544921875,-17.587902,0.03,0.043478260869565216,0.07649917155504227,-17.571037,-1.774790386358904e-05,2.7325503627459207,0.024307497,7.9664536,2860.0,0.04307846,19.248491301175292,0.1685277,0.004531250335276127,-0.03849344,0.1676649,-0.014185946,9855.22754620175,0.033005316,1.9988743364810946,-2.7325504,6,186.21240234375003,0.016864706,7.9669514,1.0,396.0
7.19,-0.0012304687,0.37784314155578613,-17.511307,0.01,0.0,0.003284909762442112,-17.521801,7.386629780133558e-05,2.728297154108683,-0.00449501,7.9943757,3328.0,0.039641827,18.624382229524212,0.03760507,-0.0012304687406867743,-0.02308601,0.024698542,-0.02758102,9535.683701516396,0.03266432,1.977130134900411,-2.7282972,7,185.0677502950033,-0.010494126,7.9954433,1.0,457.0
8.57,-0.0010351562,0.4319491386413574,-17.42543,0.0,0.0,0.003046311438083649,-17.46138,-7.345279057820631e-05,2.714325706164042,-0.009211903,7.9480653,3833.0,0.03854972,18.48223956428436,0.039292347,-0.0010351561941206457,-0.010043186,0.021178216,-0.01925509,9462.906656913592,0.03489231,1.9354637563228603,-2.714326,8,183.17461649576822,-0.035952747,7.9471335,1.0,510.0
8.13,-0.0014648438,0.48572802543640137,-17.23485,0.0,0.0,0.003535911440849304,-17.297594,-1.6385689377785163e-05,2.67904273668925,-0.009811383,7.846048,4367.0,0.030251427,18.59465785915368,0.042686205,-0.00146484375,0.0013838788,0.021848528,-0.0084275035,9520.464823886685,0.037570454,1.8819320201873777,-2.6790428,9,179.03801981608072,-0.06274426,7.845291,1.0,585.0
7.01,-0.0014648438,0.5396990776062012,-17.180534,0.01,0.013333333333333334,0.003535911440849304,-17.279934,-0.00014020192126433073,2.674643635749817,-0.010612783,7.7767754,4930.0,0.025510065,18.528451082514987,0.050918806,-0.00146484375,0.012005511,0.03297019,0.0013927286,9486.566954247673,0.039653957,1.847796301047007,-2.6746435,10,177.5459238688151,-0.099398255,7.7779293,1.0,660.0
