# {"t_start": 1636398183.683143, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,15,0.029394
0.0,8,0.065335
0.0,6,0.069946
0.0,24,0.138331
1.0,14,0.150592
0.0,7,0.181015
0.0,10,0.189779
0.0,5,0.218148
0.0,6,0.222832
0.0,7,0.252862
0.0,2,0.254438
0.0,26,0.299741
0.0,2,0.301296
0.0,16,0.338466
0.0,2,0.340216
0.0,3,0.367554
0.0,7,0.373106
0.0,14,0.409984
0.0,10,0.418534
0.0,10,0.451112
0.0,19,0.490485
0.0,2,0.492045
0.0,3,0.494512
0.0,14,0.531102
0.0,3,0.533721
0.0,20,0.599545
0.0,2,0.601207
0.0,13,0.611576
0.0,10,0.643742
0.0,2,0.645287
0.0,5,0.649794
0.0,4,0.677594
0.0,4,0.681259
0.0,9,0.689168
0.0,4,0.717085
0.0,24,0.762227
0.0,8,0.793532
0.0,6,0.798497
0.0,4,0.801933
0.0,5,0.806155
0.0,3,0.833266
0.0,2,0.834838
0.0,2,0.836445
0.0,7,0.842286
0.0,8,0.873676
0.0,3,0.876054
0.0,15,0.913565
0.0,9,0.920636
0.0,3,0.923065
0.0,3,0.950196
0.0,47,1.037254
0.0,7,1.067215
0.0,10,1.075897
0.0,5,1.104187
0.0,4,1.107525
0.0,8,1.114212
0.0,4,1.142046
0.0,8,1.1483
0.0,9,1.17976
0.0,12,1.189775
0.0,6,1.219566
0.0,7,1.225831
0.0,9,1.257731
0.0,15,1.294909
0.0,2,1.296527
0.0,14,1.308015
0.0,11,1.341506
0.0,6,1.346719
0.0,5,1.375217
0.0,2,1.377019
0.0,6,1.38232
0.0,10,1.415032
0.0,9,1.422767
0.0,6,1.451955
0.0,2,1.453514
0.0,3,1.455838
0.0,26,1.525907
0.0,10,1.533862
0.0,4,1.537403
0.0,5,1.566108
0.0,5,1.570144
0.0,14,1.605867
0.0,4,1.609077
0.0,5,1.612922
0.0,7,1.643114
0.0,3,1.645327
0.0,4,1.648613
0.0,6,1.653741
0.0,2,1.680018
0.0,11,1.689021
0.0,19,1.729539
0.0,2,1.731268
0.0,4,1.759214
0.0,2,1.760818
0.0,4,1.7642
0.0,3,1.766819
0.0,4,1.770424
0.0,2,1.796573
0.0,2,1.798214
0.0,3,1.8007
0.0,12,1.835252
0.0,2,1.836895
1.0,6,1.841509
0.0,10,1.87437
0.0,8,1.880864
0.0,11,1.915447
0.0,10,1.924441
0.0,7,1.955014
0.0,13,1.989625
0.0,7,1.995408
0.0,4,1.998938
0.0,2,2.00072
0.0,10,2.033132
0.0,8,2.039444
0.0,5,2.068416
0.0,13,2.080231
0.0,11,2.113996
0.0,5,2.118281
0.0,8,2.149384
0.0,5,2.153822
0.0,8,2.185776
0.0,3,2.188157
0.0,5,2.192576
0.0,4,2.195959
0.0,2,2.197826
0.0,7,2.228024
0.0,2,2.229681
0.0,4,2.233342
0.0,4,2.236931
0.0,8,2.267878
0.0,3,2.270765
0.0,10,2.304462
0.0,3,2.306997
0.0,5,2.311277
0.0,8,2.343788
0.0,3,2.346249
0.0,4,2.349847
0.0,7,2.356184
0.0,8,2.387817
0.0,6,2.393211
0.0,10,2.426587
0.0,2,2.428353
0.0,11,2.462441
0.0,2,2.464166
0.0,2,2.465939
0.0,5,2.470417
0.0,5,2.474986
0.0,23,2.544662
0.0,8,2.551799
0.0,7,2.582717
0.0,12,2.592487
0.0,4,2.620545
0.0,3,2.623268
0.0,6,2.628717
0.0,8,2.66
